Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
130823,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,409,Southeast Queens,2005-2007,01/01/2005,73.8,
151637,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,208,Canarsie - Flatlands,2005,01/01/2005,35.7,
151647,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,307,Gramercy Park - Murray Hill,2005,01/01/2005,185.6,
154605,643,Annual vehicle miles traveled,Million miles,per square mile,CD,404,Elmhurst and Corona (CD4),2005,01/01/2005,78,
154586,643,Annual vehicle miles traveled,Million miles,per square mile,CD,303,Bedford Stuyvesant (CD3),2005,01/01/2005,69.4,
154562,643,Annual vehicle miles traveled,Million miles,per square mile,CD,103,Lower East Side and Chinatown (CD3),2005,01/01/2005,134.8,
151629,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,107,Hunts Point - Mott Haven,2005,01/01/2005,42.7,
130810,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,306,Chelsea - Clinton,2005-2007,01/01/2005,139.1,
131224,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,01/01/2005,193.7,
131234,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,01/01/2005,14.8,
131256,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,410,Rockaways,2005-2007,01/01/2005,60,
130919,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,409,Southeast Queens,2005-2007,01/01/2005,13,
151638,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,209,Bensonhurst - Bay Ridge,2005,01/01/2005,47.4,
151660,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,410,Rockaways,2005,01/01/2005,13.7,
154573,643,Annual vehicle miles traveled,Million miles,per square mile,CD,202,Hunts Point and Longwood (CD2),2005,01/01/2005,37.9,
154602,643,Annual vehicle miles traveled,Million miles,per square mile,CD,401,Long Island City and Astoria (CD1),2005,01/01/2005,33.6,
151635,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,206,Borough Park,2005,01/01/2005,57.8,
131223,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,105,Crotona -Tremont,2005-2007,01/01/2005,192.7,
130788,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,102,Northeast Bronx,2005-2007,01/01/2005,152.6,
131323,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2005-2007,01/01/2005,7.9,
131334,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2005-2007,01/01/2005,13.1,
131316,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,01/01/2005,9,
151626,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,104,Pelham - Throgs Neck,2005,01/01/2005,41.2,
154566,643,Annual vehicle miles traveled,Million miles,per square mile,CD,107,Upper West Side (CD7),2005,01/01/2005,104.6,
154615,643,Annual vehicle miles traveled,Million miles,per square mile,CD,414,Rockaway and Broad Channel (CD14),2005,01/01/2005,13.8,
154608,643,Annual vehicle miles traveled,Million miles,per square mile,CD,407,Flushing and Whitestone (CD7),2005,01/01/2005,38.1,
154590,643,Annual vehicle miles traveled,Million miles,per square mile,CD,307,Sunset Park (CD7),2005,01/01/2005,69.8,
151627,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,105,Crotona -Tremont,2005,01/01/2005,80.2,
151643,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,303,East Harlem,2005,01/01/2005,108.9,
154591,643,Annual vehicle miles traveled,Million miles,per square mile,CD,308,Crown Heights and Prospect Heights (CD8),2005,01/01/2005,72.1,
130824,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,410,Rockaways,2005-2007,01/01/2005,152.7,
131231,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,206,Borough Park,2005-2007,01/01/2005,13,
131331,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,01/01/2005,5.9,
154613,643,Annual vehicle miles traveled,Million miles,per square mile,CD,412,Jamaica and Hollis (CD12),2005,01/01/2005,41.6,
154583,643,Annual vehicle miles traveled,Million miles,per square mile,CD,212,Williamsbridge and Baychester (CD12),2005,01/01/2005,43.6,
154581,643,Annual vehicle miles traveled,Million miles,per square mile,CD,210,Throgs Neck and Co-op City (CD10),2005,01/01/2005,43.8,
154611,643,Annual vehicle miles traveled,Million miles,per square mile,CD,410,South Ozone Park and Howard Beach (CD10),2005,01/01/2005,55.6,
154571,643,Annual vehicle miles traveled,Million miles,per square mile,CD,112,Washington Heights and Inwood (CD12),2005,01/01/2005,90.9,
151661,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,501,Port Richmond,2005,01/01/2005,17.6,
131352,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,410,Rockaways,2005-2007,01/01/2005,9.4,
131351,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,409,Southeast Queens,2005-2007,01/01/2005,4.8,
131264,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,3,Manhattan,2005-2007,01/01/2005,59.9,
130809,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,305,Upper East Side,2005-2007,01/01/2005,39,
151670,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,5,Staten Island,2005,01/01/2005,20.8,
154597,643,Annual vehicle miles traveled,Million miles,per square mile,CD,314,Flatbush and Midwood (CD14),2005,01/01/2005,66.4,
154578,643,Annual vehicle miles traveled,Million miles,per square mile,CD,207,Kingsbridge Heights and Bedford (CD7),2005,01/01/2005,73.4,
131230,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,01/01/2005,47.2,
131326,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,01/01/2005,6.4,
154592,643,Annual vehicle miles traveled,Million miles,per square mile,CD,309,South Crown Heights and Lefferts Gardens (CD9),2005,01/01/2005,77,
151649,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,309,Union Square - Lower East Side,2005,01/01/2005,123.8,
151639,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,210,Coney Island - Sheepshead Bay,2005,01/01/2005,35.8,
151650,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,310,Lower Manhattan,2005,01/01/2005,95.4,
154560,643,Annual vehicle miles traveled,Million miles,per square mile,CD,101,Financial District (CD1),2005,01/01/2005,98.4,
151634,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,205,Sunset Park,2005,01/01/2005,59.9,
130807,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,303,East Harlem,2005-2007,01/01/2005,354.2,
130798,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,205,Sunset Park,2005-2007,01/01/2005,47,
151630,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,201,Greenpoint,2005,01/01/2005,63.2,
