Row,Name,Neighborhood,Year,Value
1941,Fine Particles,209.0,2009,10.6
1942,Nitrogen Dioxide,409.0,2009,16.1
1943,Nitrogen Dioxide,410.0,2009,8.6
1944,Fine Particles,104.0,2009,10.4
1945,Nitrogen Dioxide,211.0,2009,23.1
1946,Nitrogen Dioxide,308.0,2009,31.6
1947,Nitrogen Dioxide,407.0,2009,18.6
1952,Nitrogen Dioxide,207.0,2009,21.4
1960,Fine Particles,403.0,2009,10.2
1961,Fine Particles,305.0,2009,12.9
1962,Nitrogen Dioxide,305.0,2009,30.9
1963,Nitrogen Dioxide,204.0,2009,19.5
1973,Nitrogen Dioxide,103.0,2009,21.2
1976,Nitrogen Dioxide,107.0,2009,23.0
1989,Nitrogen Dioxide,206.0,2009,21.3
1990,Nitrogen Dioxide,210.0,2009,15.2
1992,Nitrogen Dioxide,202.0,2009,25.2
1993,Fine Particles,202.0,2009,11.7
1994,Fine Particles,102.0,2009,10.3
2001,Fine Particles,201.0,2009,12.2
2002,Fine Particles,103.0,2009,10.6
2003,Nitrogen Dioxide,205.0,2009,22.3
2023,Fine Particles,107.0,2009,9.7
2024,Fine Particles,207.0,2009,10.8
2028,Fine Particles,306.0,2009,14.3
2029,Nitrogen Dioxide,303.0,2009,26.4
2030,Ozone,103.0,2010,27.5
2031,Ozone,303.0,2010,25.7
2032,Ozone,101.0,2010,28.4
2033,Ozone,201.0,2010,27.1
2034,Nitrogen Dioxide,106.0,2009,26.5
2035,Ozone,410.0,2010,30.5
2036,Ozone,202.0,2010,26.1
2037,Ozone,102.0,2010,28.6
2039,Ozone,403.0,2010,28.6
2040,Ozone,405.0,2010,27.9
2041,Ozone,205.0,2010,27.7
2042,Ozone,305.0,2010,23.0
2043,Ozone,106.0,2010,26.3
2044,Ozone,409.0,2010,28.7
2045,Ozone,210.0,2010,28.4
2047,Ozone,501.0,2010,29.2
2049,Fine Particles,105.0,2009,11.3
2053,Ozone,309.0,2010,24.0
2054,Ozone,210.0,2009,29.6
2056,Ozone,401.0,2010,27.6
2058,Ozone,101.0,2009,23.7
2059,Ozone,301.0,2009,21.8
2064,Ozone,104.0,2010,28.7
2066,Ozone,211.0,2009,24.8
2068,Ozone,203.0,2010,26.4
2069,Ozone,103.0,2009,24.5
2070,Ozone,303.0,2009,22.8
2071,Ozone,203.0,2009,24.3
2073,Ozone,410.0,2009,33.6
2074,Ozone,409.0,2009,27.6
2075,Fine Particles,106.0,2009,11.4
2079,Ozone,202.0,2009,23.1
2080,Ozone,102.0,2009,26.8
2081,Fine Particles,406.0,2009,10.1
2082,Fine Particles,304.0,2009,12.1
2083,Fine Particles,404.0,2009,9.9
2091,Fine Particles,303.0,2009,11.0
2092,Fine Particles,205.0,2009,11.5
2122,Nitrogen Dioxide,307.0,2009,41.0
2123,Ozone,307.0,2010,19.3
2124,Ozone,207.0,2010,27.1
2125,Ozone,407.0,2010,28.4
2130,Ozone,301.0,2010,25.9
2138,Ozone,107.0,2010,27.7
2139,Ozone,304.0,2010,24.4
2140,Ozone,211.0,2010,26.7
2142,Ozone,408.0,2010,27.8
2144,Ozone,208.0,2009,29.0
2145,Ozone,408.0,2009,26.1
2147,Fine Particles,408.0,2009,10.1
2159,Fine Particles,203.0,2009,10.9
2160,Fine Particles,309.0,2009,12.3
2161,Fine Particles,310.0,2009,13.2
2174,Nitrogen Dioxide,309.0,2009,29.3
2176,Nitrogen Dioxide,403.0,2009,19.3
2177,Nitrogen Dioxide,304.0,2009,28.5
2178,Nitrogen Dioxide,310.0,2009,34.4
2179,Ozone,309.0,2009,21.2
2180,Ozone,206.0,2009,25.5
2182,Nitrogen Dioxide,102.0,2009,17.9
2183,Ozone,501.0,2009,24.4
2191,Fine Particles,301.0,2009,10.8
2193,Fine Particles,410.0,2009,9.6
2194,Fine Particles,210.0,2009,10.4
2196,Fine Particles,504.0,2009,10.4
2199,Ozone,208.0,2010,29.0
2200,Ozone,308.0,2010,23.8
2205,Fine Particles,211.0,2009,12.7
2206,Ozone,201.0,2009,25.6
2207,Ozone,209.0,2009,26.9
2209,Ozone,306.0,2009,18.2
2210,Ozone,406.0,2009,25.4
2217,Fine Particles,307.0,2009,15.1
2219,Ozone,204.0,2009,26.3
2228,Nitrogen Dioxide,404.0,2009,16.8
2240,Nitrogen Dioxide,301.0,2009,25.6
2242,Nitrogen Dioxide,208.0,2009,15.5
2243,Ozone,107.0,2009,25.2
2251,Fine Particles,407.0,2009,10.1
2254,Ozone,308.0,2009,20.6
2255,Ozone,307.0,2009,16.1
2256,Ozone,407.0,2009,26.5
2272,Fine Particles,405.0,2009,10.6
2277,Fine Particles,501.0,2009,10.8
2280,Fine Particles,409.0,2009,9.7
2281,Fine Particles,206.0,2009,10.8
2295,Nitrogen Dioxide,201.0,2009,22.6
2302,Fine Particles,204.0,2009,10.1
2303,Ozone,503.0,2009,26.0
2304,Ozone,403.0,2009,26.3
2305,Ozone,205.0,2009,24.6
2306,Ozone,305.0,2009,20.9
2307,Ozone,105.0,2009,23.1
2308,Ozone,405.0,2009,25.6
2312,Ozone,310.0,2009,18.9
2314,Ozone,302.0,2009,21.5
2315,Nitrogen Dioxide,306.0,2009,37.1
2316,Nitrogen Dioxide,406.0,2009,19.4
2325,Nitrogen Dioxide,502.0,2009,14.9
2327,Ozone,104.0,2009,26.7
2329,Ozone,504.0,2009,27.8
2330,Ozone,304.0,2009,21.3
2331,Nitrogen Dioxide,104.0,2009,19.0
2332,Nitrogen Dioxide,203.0,2009,23.2
2338,Fine Particles,308.0,2009,12.9
2350,Nitrogen Dioxide,408.0,2009,18.5
2351,Ozone,209.0,2010,28.0
2355,Ozone,206.0,2010,27.1
2357,Ozone,105.0,2010,26.7
2359,Nitrogen Dioxide,105.0,2009,25.0
2360,Ozone,310.0,2010,22.7
2364,Ozone,106.0,2009,22.6
2365,Ozone,402.0,2010,27.3
2372,Ozone,502.0,2009,26.5
2373,Ozone,402.0,2009,25.7
2374,Ozone,404.0,2010,28.5
2377,Ozone,204.0,2010,28.0
2382,Ozone,404.0,2009,26.3
2390,Ozone,401.0,2009,26.1
2391,Nitrogen Dioxide,101.0,2009,19.5
2392,Nitrogen Dioxide,501.0,2009,18.2
2393,Nitrogen Dioxide,401.0,2009,21.9
2398,Fine Particles,503.0,2009,10.7
2399,Ozone,306.0,2010,21.3
2400,Nitrogen Dioxide,302.0,2009,28.1
2402,Fine Particles,302.0,2009,11.4
2409,Ozone,503.0,2010,30.3
2412,Fine Particles,401.0,2009,11.6
2413,Fine Particles,101.0,2009,10.4
2414,Ozone,406.0,2010,28.0
2415,Ozone,302.0,2010,25.4
2417,Fine Particles,208.0,2009,10.4
2422,Ozone,504.0,2010,30.3
2429,Fine Particles,502.0,2009,10.4
2430,Fine Particles,402.0,2009,11.1
2431,Ozone,502.0,2010,29.4
2452,Ozone,207.0,2009,25.5
2470,Nitrogen Dioxide,402.0,2009,21.7
2471,Nitrogen Dioxide,504.0,2009,10.8
2474,Nitrogen Dioxide,209.0,2009,19.0
2476,Nitrogen Dioxide,503.0,2009,14.0
2477,Nitrogen Dioxide,405.0,2009,19.9
3390,Nitrogen Dioxide,408.0,2010,17.9
3391,Nitrogen Dioxide,207.0,2010,19.0
3392,Fine Particles,403.0,2010,11.6
